important_features,category
567, Lich King Raid
13105, Island Expeditions
5540, Currencies
12199, Player vs. Player
12416, Legion
4833, Cataclysm Dungeon
13702, Honor
10822, Legion Raid
5355, Rated Battleground
712, Warsong Gulch
2042, Lich King Dungeon
10827, Legion Raid
8986, Draenor Raid
5123, Cataclysm Raid
11688, Player vs. Player
434, Player vs. Player
13633, Battle Raid
11194, Raids
10797, Legion Dungeon
4999, Feats of Strength
10594, Fishing
461, Feats of Strength
2181, Lich King Raid
690, The Burning Crusade
223, Alterac Valley
13416, Battle Raid
4620, Lich King Raid
685, Classic
695, The Burning Crusade
7057, Silvershard Mines
938, Northrend
845, Kalimdor
425, Raids
9473, Ashran
710, Arathi Basin
7487, Raids
5357, Rated Battleground
10842, Legion Raid
6746, Feats of Strength
13784, Raids
622, Lich King Raid
11781, Legion Raid
233, Eye of the Storm
4397, Lich King Raid
573, Lich King Raid
499, Lich King Dungeon
10840, Legion Raid
10823, Legion Raid
10821, Legion Raid
1837, Fishing
3037, Raids
775, Eastern Kingdoms
8966, Draenor Raid
11874, Raids
9624, Dungeons
8956, Draenor Raid
13049, Battle for Azeroth
4612, Lich King Raid
5351, Rated Battleground
10678, Legion Raid
9528, Draenor
4617, Lich King Raid
10023, Draenor Raid
12000, Legion Raid
1307, Dungeons
5268, Rated Battleground
12399, Lich King Raid
5002, Feats of Strength
5391, Feats of Strength
5803, Cataclysm Raid
9520, Draenor Garrison
13289, Battle Raid
11009, Player vs. Player
11005, Player vs. Player
1727, Wintergrasp
4633, Lich King Raid
11788, Legion Raid
1636, Events
2087, Currencies
12480, Battle for Azeroth
5359, Rated Battleground
776, Eastern Kingdoms
404, Player vs. Player
10034, Draenor Raid
14048, Battle Raid
10774, Legion
9605, Draenor
5341, Rated Battleground
5813, Cataclysm Raid
6109, Cataclysm Raid
6523, Feats of Strength
13512, Battle for Azeroth
11702, Legion Dungeon
465, Feats of Strength
12337, Lich King Raid
774, Eastern Kingdoms
13466, Battle for Azeroth
9522, Draenor Garrison
6748, Feats of Strength
5807, Cataclysm Raid
4634, Lich King Raid
13313, Battle Raid
5007, Feats of Strength
10597, Fishing
10845, Legion Raid
11778, Legion Raid
12430, Eastern Kingdoms
5210, Twin Peaks
5008, Feats of Strength
12032, Player vs. Player
5354, Rated Battleground
7292, Pandaria
5382, Feats of Strength
12568, Player vs. Player
9142, Draenor Garrison
875, Arena
5804, Cataclysm Raid
8028, Pandaria Raid
11774, Legion Raid
8971, Draenor Raid
4616, Lich King Raid
10043, Draenor Raid
5001, Feats of Strength
13053, Battle for Azeroth
4619, Lich King Raid
9046, Draenor Dungeon
8970, Draenor Raid
855, Kalimdor
12182, Player vs. Player
10024, Draenor Raid
13295, Battle Raid
497, Lich King Dungeon
10032, Draenor Raid
13735, War Effort
12180, Player vs. Player
8967, Draenor Raid
1402, Feats of Strength
12345, Lich King Raid
207, Warsong Gulch
10019, Draenor Raid
13583, Island Expeditions
10826, Legion Raid
1463, Feats of Strength
2058, Lich King Dungeon
10998, Player vs. Player
11790, Legion Raid
12348, Lich King Raid
11396, Legion Raid
459, Feats of Strength
6845, Pandaria Raid
9053, Draenor Dungeon
2889, Raids
1867, Lich King Dungeon
398, Arena
13676, Player vs. Player
12324, Lich King Raid
8991, Draenor Raid
9915, Events
11997, Legion Raid
5805, Cataclysm Raid
10843, Legion Raid
8973, Draenor Raid
2476, Wintergrasp
13078, Feats of Strength
10999, Mounts
1161, Player vs. Player
11998, Legion Raid
11218, Dungeons
13298, Battle Raid
12404, Seething Shore
9052, Draenor Dungeon
6028, Darkmoon Faire
1400, Feats of Strength
12136, Player vs. Player
10848, Legion Raid
12411, Seething Shore
14191, Player vs. Player
9215, Player vs. Player
13414, Battle Raid
689, Classic
10775, Legion Dungeon
686, Classic
4610, Lich King Raid
460, Feats of Strength
11160, Legion Raid
11789, Legion Raid
490, Lich King Dungeon
458, Feats of Strength
2891, Raids
1407, Feats of Strength
5005, Feats of Strength
8969, Draenor Raid
8206, Pandaria
9228, Ashran
6761, Pandaria Dungeon
8992, Draenor Raid
12333, Lich King Raid
11992, Legion Raid
11776, Legion Raid
10089, Player vs. Player
4615, Lich King Raid
9233, Player vs. Player
868, Eastern Kingdoms
5769, Cataclysm Dungeon
123, Cooking
1717, Wintergrasp
8989, Draenor Raid
9425, Draenor Raid
10847, Legion Raid
462, Feats of Strength
12530, Battle Raid
10093, Player vs. Player
6745, Feats of Strength
9405, Draenor Garrison
12572, World
11610, Expansion Features
13727, Battle Raid
9621, Dungeons
12129, Legion Raid
456, Feats of Strength
13402, World
5809, Cataclysm Raid
10177, Draenor Garrison
6131, Events
11779, Legion Raid
12532, Battle Raid
563, Lich King Raid
4959, Cataclysm
13635, Battle for Azeroth
8968, Draenor Raid
12313, Lich King Raid
9047, Draenor Dungeon
13083, Battle for Azeroth
13212, Player vs. Player
12526, Battle Raid
9625, Dungeons
11993, Legion Raid
8990, Draenor Raid
7853, Events
9049, Draenor Dungeon
696, The Burning Crusade
11578, Player vs. Player
13729, Battle Raid
1737, Wintergrasp
5806, Cataclysm Raid
10749, Legion Class Hall
9406, Draenor Garrison
11181, Legion Dungeon
12007, Legion Dungeon
6751, Feats of Strength
12754, Fishing
5808, Cataclysm Raid
642, Classic
8932, Draenor Raid
12001, Legion Raid
10819, Legion Raid
12531, Battle Raid
13322, Raids
9106, Ashran
6752, Feats of Strength
11990, Legion Raid
11767, Legion Raid
12509, Battle for Azeroth
6458, Pandaria Raid
11780, Legion Raid
8972, Draenor Raid
295, Brewfest
4919, Archaeology
11994, Legion Raid
10844, Legion Raid
11787, Legion Raid
8123, Pandaria Raid
4622, Lich King Raid
12318, Lich King Raid
2091, Arena
11999, Legion Raid
449, Player vs. Player
1558, Fishing
5215, Twin Peaks
4886, Cataclysm
9043, Draenor Dungeon
11296, Legacy
13293, Battle Raid
8533, Raids
12473, Battle for Azeroth
6027, Darkmoon Faire
13045, Battle for Azeroth
4960, Cataclysm
11697, Player vs. Player
693, The Burning Crusade
5004, Feats of Strength
13465, Player vs. Player
6322, Mounts
12960, Player vs. Player
5000, Feats of Strength
4584, Lich King Raid
10071, Draenor Raid
10846, Legion Raid
13989, Player vs. Player
8209, Pandaria
14043, Battle Raid
10849, Legion Raid
9250, Darkmoon Faire
13202, Mounts
10627, Legion
6844, Pandaria Raid
12090, Player vs. Player
12405, Seething Shore
10741, Events
11989, Legion Raid
13288, Battle Raid
4614, Lich King Raid
5229, Twin Peaks
11224, Feats of Strength
9054, Draenor Dungeon
11735, Legion
13719, Battle Raid
666, The Burning Crusade
11222, Legion Class Hall
13384, Battle for Azeroth
901, The Burning Crusade
12317, Lich King Raid
12524, Battle Raid
9546, Draenor Garrison
13451, Player vs. Player
10803, Legion Dungeon
10829, Legion Raid
10773, Legion Dungeon
11340, Legion
5788, Reputation
11731, Legion
713, Warsong Gulch
1795, Cooking
2887, Raids
505, Quests
12496, Battle for Azeroth
10837, Legion Raid
13290, Battle Raid
13096, Island Expeditions
6689, Pandaria Raid
5533, Events
1557, Fishing
8844, Draenor Dungeon
11777, Legion Raid
3259, Feats of Strength
652, The Burning Crusade
13925, Battle for Azeroth
13397, Island Expeditions
3117, Feats of Strength
12372, Lich King Raid
13291, Battle Raid
5269, Rated Battleground
11775, Legion Raid
10839, Legion Raid
10838, Legion Raid
12363, Lich King Raid
11008, Player vs. Player
6744, Feats of Strength
10789, Legion Dungeon
273, Winter Veil
10460, Legion Class Hall
12198, Player vs. Player
12077, Legion
1159, Arena
2085, Currencies
636, Classic
10793, Legion
640, Classic
11397, Legion Raid
5006, Feats of Strength
263, Midsummer
708, Alterac Valley
4902, Eastern Kingdoms
658, The Burning Crusade
972, Hallow's End
605, Lunar Festival
655, The Burning Crusade
11995, Legion Raid
13964, Player vs. Player
653, The Burning Crusade
3164, Raids
13093, Mounts
8678, Mounts
12344, Lich King Raid
12388, Lich King Raid
852, Kalimdor
13108, Island Expeditions
12536, Raids
648, The Burning Crusade
11298, Legion Class Hall
13467, Battle for Azeroth
5353, Rated Battleground
11611, Expansion Features
13634, Player vs. Player
12857, World
14066, Visions of N'Zoth
13292, Battle Raid
10058, Events
11861, Battle for Azeroth
11991, Legion Raid
13100, Island Expeditions
1876, Lich King Raid
279, Winter Veil
13578, Island Expeditions
12478, Battle for Azeroth
12959, Player vs. Player
10850, Legion Raid
13394, Island Expeditions
10782, Legion Dungeon
12888, War Effort
12319, Lich King Raid
697, The Burning Crusade
10756, Legion
12850, Events
12326, Lich King Raid
400, Arena
13737, War Effort
645, Classic
13104, Island Expeditions
9755, Darkmoon Faire
11868, Battle for Azeroth
13302, War Effort
12002, Legion Raid
10591, Cooking
13704, Battle for Azeroth
10461, Legion Class Hall
13286, Battle Raid
629, Classic
10458, Legion Dungeon
13199, Player vs. Player
8205, Pandaria
1556, Fishing
9126, Draenor Garrison
650, The Burning Crusade
13642, Player vs. Player
13203, Player vs. Player
13726, Battle Raid
10617, Legion
13056, Professions
678, The Burning Crusade
11429, Legion Dungeon
12135, Player vs. Player
647, The Burning Crusade
10818, Legion Raid
10800, Legion Dungeon
5541, Currencies
1160, Arena
12510, Battle for Azeroth
403, Arena
11559, Brawler's Guild
11612, Expansion Features
681, The Burning Crusade
12073, Legion
13205, Player vs. Player
2092, Arena
10816, Legion Dungeon
401, Arena
12948, Battle for Azeroth
483, Lich King Dungeon
13209, Player vs. Player
11200, Events
12873, War Effort
5061, Cataclysm Dungeon
9475, Draenor
12877, War Effort
13582, Island Expeditions
632, Classic
10801, Legion Dungeon
6759, Pandaria Dungeon
9727, Draenor
780, Eastern Kingdoms
9602, Draenor
12361, Lich King Raid
12364, Lich King Raid
487, Lich King Dungeon
13301, War Effort
10258, Draenor Garrison
9214, Player vs. Player
661, The Burning Crusade
12522, Battle Raid
10785, Legion Dungeon
12102, Legion
1755, Wintergrasp
5376, Cataclysm
6758, Pandaria Dungeon
12856, World
212, Eye of the Storm
405, Arena
10411, Legion Dungeon
9607, Draenor
13641, Player vs. Player
13927, Events
11558, Brawler's Guild
625, Lich King Raid
10809, Legion Dungeon
12497, Battle for Azeroth
6756, Pandaria Dungeon
13204, Player vs. Player
9545, Draenor Garrison
5266, Arena
5066, Cataclysm Dungeon
13725, Battle Raid
13396, Island Expeditions
4840, Cataclysm Dungeon
637, Classic
13287, Battle Raid
639, Classic
1998, Cooking
11737, Legion
641, Classic
12962, Player vs. Player
12395, Lich King Raid
657, The Burning Crusade
5542, Currencies
6470, Pandaria Dungeon
11701, Legion Dungeon
12589, Island Expeditions
11929, Legion Dungeon
7413, Classic
12365, Lich King Raid
14140, Feats of Strength
2893, Raids
10806, Legion Dungeon
711, Arathi Basin
634, Classic
2090, Arena
402, Arena
6763, Pandaria Dungeon
9044, Draenor Dungeon
14149, War Effort
9100, Draenor Garrison
480, Lich King Dungeon
899, The Burning Crusade
13099, Island Expeditions
8922, Draenor
6433, Feats of Strength
13728, Battle Raid
479, Lich King Dungeon
11988, Legion Raid
12590, Island Expeditions
5064, Cataclysm Dungeon
13112, Island Expeditions
12523, Battle Raid
1005, Player vs. Player
9101, Draenor Garrison
13107, Island Expeditions
628, Classic
10711, Legion Dungeon
255, Hallow's End
10796, Legion Dungeon
13296, War Effort
13095, Island Expeditions
630, Classic
6950, Temple of Kotmogu
10802, Legion Dungeon
4576, Feats of Strength
6971, Temple of Kotmogu
942, Reputation
399, Arena
14044, Battle Raid
764, The Burning Crusade
9471, Draenor
14169, Visions of N'Zoth
13690, Battle for Azeroth
13577, Island Expeditions
13103, Island Expeditions
12521, Battle Raid
6517, Pandaria Raid
9108, Draenor Garrison
12949, Battle for Azeroth
2093, Arena
13639, Player vs. Player
649, The Burning Crusade
1415, Feats of Strength
12385, Lich King Raid
12329, Lich King Raid
545, Character
9038, Draenor Dungeon
561, Northrend
5062, Cataclysm Dungeon
14067, Visions of N'Zoth
5245, Battle for Gilneas
12343, Lich King Raid
13389, Island Expeditions
13581, Island Expeditions
10784, Legion Dungeon
7994, Pandaria
4517, Lich King Dungeon
10698, Legion
13118, Island Expeditions
13963, Player vs. Player
4848, Cataclysm Dungeon
412, Promotions
10805, Legion Dungeon
11213, Legion Class Hall
14061, Visions of N'Zoth
13297, War Effort
6456, Pandaria Dungeon
10813, Legion Dungeon
10598, Fishing
6828, Pandaria
9099, Draenor Garrison
13558, Battle for Azeroth
660, The Burning Crusade
12740, Professions
10799, Legion Dungeon
6480, Pandaria Raid
11216, Legion Class Hall
12396, Lich King Raid
10543, Legion Dungeon
635, Classic
12328, Lich King Raid
13119, Island Expeditions
12386, Lich King Raid
12321, Lich King Raid
1308, Player vs. Player
3776, Isle of Conquest
10820, Legion Raid
4847, Cataclysm Dungeon
9138, Draenor Garrison
12339, Lich King Raid
238, Player vs. Player
8921, Draenor
638, Classic
12881, War Effort
5063, Cataclysm Dungeon
11546, Legion
13111, Island Expeditions
10763, Legion
651, The Burning Crusade
5208, Twin Peaks
964, Exploration
1689, Winter Veil
9039, Draenor Dungeon
777, Eastern Kingdoms
10788, Legion Dungeon
10010, Pandaria Dungeon
631, Classic
12741, Professions
11219, Legion Class Hall
633, Classic
13959, Player vs. Player
10798, Legion Dungeon
12872, War Effort
6740, Temple of Kotmogu
10804, Legion Dungeon
11700, Legion Dungeon
10795, Legion Dungeon
4520, Lich King Dungeon
153, Fishing
10011, Pandaria Dungeon
11848, Events
13142, Island Expeditions
11124, Legion
477, Lich King Dungeon
8331, Deepwind Gorge
4476, Dungeons & Raids
762, Reputation
168, Warsong Gulch
12838, Battle Dungeon
11652, Legion
10808, Legion Dungeon
10790, Legion
13718, Battle Raid
478, Lich King Dungeon
1157, Player vs. Player
10781, Legion Dungeon
8208, Pandaria
6117, Cataclysm Dungeon
12739, Professions
199, Warsong Gulch
6019, Darkmoon Faire
12101, Legion
9041, Draenor Dungeon
12409, Seething Shore
10585, Professions
4839, Cataclysm Dungeon
10256, Draenor Garrison
4846, Cataclysm Dungeon
9150, Draenor Garrison
154, Arathi Basin
481, Lich King Dungeon
699, Arena
11223, Legion Class Hall
4957, Quests
14195, Battle Raid
11215, Legion Class Hall
10786, Legion Dungeon
13126, Island Expeditions
12069, Legion
10807, Legion Dungeon
8843, Draenor Dungeon
8820, Events
486, Lich King Dungeon
4885, Cataclysm
11171, Legion Class Hall
484, Lich King Dungeon
10669, Legion
12733, Professions
14019, Battle Raid
32, Quests
14168, Visions of N'Zoth
12727, Battle Dungeon
6739, Silvershard Mines
246, Player vs. Player
506, Quests
7437, Pandaria
488, Lich King Dungeon
12596, Island Expeditions
9037, Draenor Dungeon
12316, Lich King Raid
5375, Cataclysm
14041, Battle Raid
10783, Legion Dungeon
6755, Pandaria Dungeon
9131, Draenor Garrison
12351, Lich King Raid
951, Wrath of the Lich King
6757, Pandaria Dungeon
12500, Battle Dungeon
1258, Eye of the Storm
166, Warsong Gulch
13123, Island Expeditions
12735, Professions
10666, Legion
6457, Pandaria Dungeon
12831, Battle Dungeon
229, Player vs. Player
12844, Battle Dungeon
957, Legacy
12349, Lich King Raid
6469, Pandaria Dungeon
979, Hallow's End
4478, Dungeons & Raids
10780, Legion Dungeon
11846, Legion
11543, Legion
9134, Draenor Garrison
709, Alterac Valley
13701, Honor
5180, Character
12827, Events
12506, Battle Dungeon
12841, Battle Dungeon
4956, Quests
12833, Battle Dungeon
12842, Battle Dungeon
12483, Battle Dungeon
10706, Legion Class Hall
10349, Draenor
12840, Battle Dungeon
12826, Battle Dungeon
1011, Wrath of the Lich King
245, Player vs. Player
11220, Legion Class Hall
14068, Raids
397, Arena
12501, Battle Dungeon
12845, Battle Dungeon
12504, Battle Dungeon
11609, Expansion Features
11214, Legion Class Hall
10059, Legion
13962, Player vs. Player
11772, Expansion Features
12484, Battle Dungeon
10665, Legion
12738, Professions
11183, Dungeons & Raids
9470, Draenor
218, Alterac Valley
227, Player vs. Player
11212, Legion Class Hall
9107, Draenor Garrison
4477, Dungeons & Raids
9141, Draenor Garrison
14150, War Effort
12835, Battle Dungeon
12560, Battle for Azeroth
950, Wrath of the Lich King
9474, Ashran
9125, Draenor Garrison
11478, World
12837, Battle Dungeon
508, Quests
208, Eye of the Storm
14167, Visions of N'Zoth
11185, Dungeons & Raids
12488, Battle Dungeon
12557, Battle for Azeroth
900, The Burning Crusade
12825, Battle Dungeon
14162, Visions of N'Zoth
12558, Battle for Azeroth
14173, Visions of N'Zoth
13559, Battle for Azeroth
11184, Dungeons & Raids
12824, Battle Dungeon
9133, Draenor Garrison
12957, Battle for Azeroth
4624, Love is in the Air
12846, Battle Dungeon
12952, Battle for Azeroth
12848, Battle Dungeon
9130, Draenor Garrison
12832, Battle Dungeon
896, The Burning Crusade
11475, World
11477, World
12847, Battle Dungeon
546, Character
949, Wrath of the Lich King
12352, Lich King Raid
948, Reputation
12502, Battle Dungeon
14194, Battle Raid
12559, Battle for Azeroth
13124, Island Expeditions
13075, Battle Dungeon
11476, World
14166, Visions of N'Zoth
12561, Battle for Azeroth
12505, Battle Dungeon
11144, Expansion Features
13776, Battle for Azeroth
507, Quests
955, Classic
5752, Quests
944, Classic
14165, Visions of N'Zoth
116, Professions
735, Professions
1182, Quests
14064, Visions of N'Zoth
731, Professions
14196, Battle Raid
956, Classic
10581, Professions
4924, Professions
12950, Battle for Azeroth
4914, Professions
733, Professions
31, Quests
8715, Pandaria
13917, Events
732, Professions
9726, Draenor
734, Professions
12734, Professions
1012, Wrath of the Lich King
12556, Battle for Azeroth
14065, Visions of N'Zoth
959, The Burning Crusade
9472, Draenor
10350, Draenor
902, The Burning Crusade
1010, Wrath of the Lich King
13712, Battle for Azeroth
14157, Battle for Azeroth
12954, Battle for Azeroth
13771, Heart of Azeroth
953, Reputation
5538, Currencies
13777, Heart of Azeroth
945, Reputation
4883, Cataclysm
946, Classic
10337, Events
14172, Visions of N'Zoth
6544, Pandaria
8210, Pandaria
12953, Battle for Azeroth
13998, Heart of Azeroth
6543, Pandaria
14193, Battle Raid
12951, Battle for Azeroth
9469, Draenor
4881, Cataclysm
958, The Burning Crusade
5537, Currencies
12387, Lich King Raid
894, The Burning Crusade
11162, Dungeons & Raids
12731, Professions
903, The Burning Crusade
12547, Character
12546, Character
12347, Lich King Raid
12322, Lich King Raid
1178, Character
14154, Battle for Azeroth
6366, Pandaria
4884, Cataclysm
12309, Lich King Raid
513, Player vs. Player
898, The Burning Crusade
6545, Pandaria
14062, Visions of N'Zoth
12338, Lich King Raid
14153, Battle for Azeroth
14171, Visions of N'Zoth
6546, Pandaria
13557, Battle for Azeroth
509, Player vs. Player
12366, Lich King Raid
14063, Visions of N'Zoth
897, The Burning Crusade
13572, Heart of Azeroth
12373, Lich King Raid
6548, Pandaria
1007, Wrath of the Lich King
974, Quests
960, The Burning Crusade
13770, Heart of Azeroth
14170, Visions of N'Zoth
5827, Cataclysm
12369, Lich King Raid
4882, Cataclysm
12310, Lich King Raid
13769, Heart of Azeroth
12302, Lich King Raid
5455, Character
1009, Wrath of the Lich King
1180, Character
12320, Lich King Raid
12341, Lich King Raid
5794, Reputation
9111, Draenor Garrison
4598, Wrath of the Lich King
9213, Draenor Garrison
1181, Character
512, Player vs. Player
6550, Pandaria
947, Wrath of the Lich King
11159, Legion
6547, Pandaria
12956, Battle for Azeroth
12334, Lich King Raid
12330, Lich King Raid
977, Quests
12325, Lich King Raid
10582, Professions
1008, Wrath of the Lich King
11545, Legion
12297, Lich King Raid
11796, Legion
516, Player vs. Player
12066, Legion
10994, Legion Class Hall
12081, Legion
515, Player vs. Player
9507, Professions
976, Quests
12076, Legion
5536, Currencies
6830, Professions
5535, Currencies
975, Quests
12292, Legion
12955, Battle for Azeroth
9464, Professions
9110, Draenor Garrison
9146, Draenor Garrison
494, Lich King Dungeon
6835, Professions
10778, Legion
2256, Northrend
1311, Outland
