,Unnamed: 0,player,realm,gear_score,last_login,time_since_login,2014-01,2015-01,2016-01,2017-01,2018-01,2019-01,2020-01,2014-02,2015-02,2016-02,2017-02,2018-02,2019-02,2020-02,2014-03,2015-03,2016-03,2017-03,2018-03,2019-03,2020-03,2014-04,2015-04,2016-04,2017-04,2018-04,2019-04,2020-04,2014-05,2015-05,2016-05,2017-05,2018-05,2019-05,2020-05,2014-06,2015-06,2016-06,2017-06,2018-06,2019-06,2020-06,2014-07,2015-07,2016-07,2017-07,2018-07,2019-07,2014-08,2015-08,2016-08,2017-08,2018-08,2019-08,2020-08,2014-09,2015-09,2016-09,2017-09,2018-09,2019-09,2020-09,2014-10,2015-10,2016-10,2017-10,2018-10,2019-10,2020-10,2014-11,2015-11,2016-11,2017-11,2018-11,2019-11,2020-11,2014-12,2015-12,2016-12,2017-12,2018-12,2019-12,2020-12,engagement,status
30,30,marquismark,malganis,422.0,2020-02-11,115 days 00:00:00.000000000,31.0,13.0,1.0,5.0,4.0,5.0,6.0,0.0,2,1.0,3.0,1.0,32.0,7.0,0.0,1,1.0,8.0,3.0,11.0,9.0,0.0,0.0,1.0,1.0,18.0,11.0,2.0,0.0,0.0,1.0,0.0,6.0,26.0,24.0,0.0,1.0,5.0,2.0,7.0,41.0,7.0,0.0,5.0,8,3.0,0.0,6.0,1.0,2.0,22,3.0,20.0,27.0,0.0,0.0,0.0,38,8.0,21,21.0,0.0,1.0,2.0,11,2.0,1.0,10.0,0.0,11,4.0,8.0,9,0.0,14.0,0.0,17,2.0,4,10.0,6.0,15.0,0.0,1.0,risk
31,31,abisteen,malganis,320.0,2019-10-04,245 days 00:00:00.000000000,12.0,10.0,1.0,5.0,4.0,4.0,6.0,0.0,2,1.0,3.0,1.0,10.0,7.0,0.0,1,1.0,8.0,3.0,3.0,9.0,0.0,0.0,1.0,1.0,11.0,8.0,2.0,0.0,0.0,1.0,0.0,4.0,21.0,22.0,0.0,1.0,2.0,2.0,7.0,32.0,5.0,0.0,5.0,14,3.0,0.0,2.0,1.0,2.0,23,47.0,18.0,13.0,0.0,0.0,0.0,60,8.0,21,28.0,0.0,1.0,2.0,6,2.0,1.0,11.0,0.0,7,3.0,3.0,9,0.0,12.0,0.0,8,2.0,4,9.0,6.0,15.0,0.0,2.0,lapsed
32,32,bozwix,malganis,459.0,2020-06-16,-11 days +00:00:00.000000000,0.0,4.0,6.0,1.0,34.0,5.0,8.0,0.0,1,7.0,3.0,40.0,19.0,5.0,0.0,3,0.0,3.0,46.0,11.0,5.0,0.0,10.0,1.0,41.0,6.0,1.0,2.0,0.0,2.0,4.0,35.0,8.0,0.0,13.0,3.0,0.0,0.0,37.0,8.0,7.0,11.0,0.0,1.0,4,61.0,4.0,2.0,1.0,0.0,15,23.0,50.0,9.0,0.0,0.0,0.0,6,31.0,17,9.0,0.0,1.0,2.0,9,11.0,11.0,3.0,0.0,9,1.0,0.0,10,11.0,4.0,0.0,5,4.0,2,14.0,11.0,3.0,0.0,0.0,active
33,33,mineras,malganis,424.0,2020-05-11,25 days 00:00:00.000000000,3.0,0.0,14.0,2.0,8.0,7.0,5.0,1.0,1,0.0,1.0,3.0,6.0,3.0,0.0,1,0.0,0.0,3.0,11.0,5.0,24.0,3.0,2.0,63.0,10.0,14.0,2.0,13.0,123.0,3.0,43.0,12.0,2.0,6.0,2.0,9.0,0.0,4.0,37.0,5.0,5.0,0.0,0.0,25,1.0,12.0,1.0,1.0,0.0,71,1.0,54.0,2.0,0.0,0.0,28.0,83,4.0,13,22.0,0.0,0.0,8.0,18,2.0,6.0,8.0,0.0,5,9.0,7.0,5,3.0,3.0,0.0,1,22.0,2,12.0,7.0,1.0,0.0,0.0,active
34,34,prex,malganis,464.0,2020-06-09,-4 days +00:00:00.000000000,2.0,0.0,10.0,1.0,5.0,7.0,0.0,0.0,1,0.0,1.0,1.0,5.0,1.0,0.0,1,1.0,0.0,3.0,2.0,5.0,0.0,0.0,2.0,29.0,10.0,10.0,20.0,2.0,46.0,2.0,13.0,9.0,2.0,82.0,0.0,1.0,0.0,1.0,29.0,4.0,50.0,0.0,0.0,9,1.0,10.0,3.0,1.0,0.0,61,1.0,3.0,1.0,0.0,21.0,16.0,55,4.0,46,9.0,0.0,15.0,5.0,82,2.0,46.0,1.0,0.0,46,3.0,50.0,2,1.0,3.0,0.0,1,13.0,3,10.0,4.0,1.0,0.0,0.0,active
35,35,aesahaettr,malganis,415.0,2019-10-10,239 days 00:00:00.000000000,2.0,0.0,45.0,1.0,5.0,6.0,0.0,0.0,1,0.0,1.0,1.0,4.0,1.0,0.0,1,0.0,0.0,3.0,1.0,5.0,0.0,0.0,2.0,26.0,7.0,10.0,12.0,2.0,44.0,2.0,12.0,8.0,2.0,60.0,0.0,0.0,0.0,1.0,27.0,4.0,19.0,0.0,0.0,6,1.0,10.0,1.0,1.0,0.0,79,1.0,2.0,0.0,0.0,8.0,7.0,13,4.0,10,87.0,0.0,2.0,1.0,29,2.0,28.0,12.0,0.0,21,2.0,25.0,1,1.0,2.0,0.0,1,9.0,1,8.0,4.0,1.0,0.0,1.0,risk
36,36,protribution,malganis,438.0,2020-06-16,-11 days +00:00:00.000000000,2.0,0.0,7.0,1.0,5.0,8.0,0.0,0.0,1,0.0,1.0,1.0,8.0,1.0,0.0,1,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,26.0,7.0,10.0,24.0,2.0,43.0,1.0,12.0,8.0,2.0,76.0,0.0,0.0,0.0,1.0,27.0,4.0,26.0,0.0,0.0,5,1.0,10.0,13.0,1.0,0.0,45,1.0,11.0,16.0,0.0,8.0,6.0,12,4.0,24,23.0,0.0,2.0,1.0,28,2.0,32.0,9.0,0.0,20,2.0,23.0,1,6.0,1.0,0.0,1,8.0,1,7.0,8.0,1.0,0.0,0.0,active
37,37,depswa,malganis,458.0,2020-06-16,-11 days +00:00:00.000000000,2.0,0.0,7.0,1.0,5.0,6.0,0.0,0.0,1,0.0,1.0,1.0,7.0,1.0,0.0,2,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,26.0,7.0,10.0,13.0,2.0,43.0,1.0,11.0,7.0,2.0,98.0,0.0,0.0,0.0,0.0,27.0,4.0,22.0,0.0,0.0,5,1.0,10.0,4.0,1.0,0.0,52,1.0,4.0,13.0,0.0,6.0,6.0,73,4.0,15,15.0,0.0,2.0,1.0,27,2.0,15.0,8.0,0.0,7,2.0,17.0,1,2.0,1.0,0.0,1,8.0,1,7.0,6.0,1.0,0.0,0.0,active
38,38,hactionjaxon,malganis,321.0,2019-11-10,208 days 00:00:00.000000000,1.0,16.0,6.0,1.0,5.0,6.0,0.0,0.0,1,0.0,1.0,1.0,6.0,1.0,0.0,1,0.0,0.0,3.0,0.0,5.0,0.0,1.0,1.0,21.0,7.0,10.0,12.0,2.0,43.0,1.0,11.0,7.0,2.0,70.0,0.0,0.0,0.0,0.0,27.0,4.0,22.0,0.0,0.0,5,1.0,9.0,1.0,1.0,0.0,42,1.0,4.0,8.0,0.0,6.0,6.0,41,4.0,5,21.0,0.0,2.0,1.0,17,2.0,13.0,28.0,0.0,5,1.0,15.0,1,2.0,3.0,0.0,17,7.0,1,7.0,4.0,1.0,0.0,1.0,risk
39,39,stackhouse,malganis,465.0,2020-06-11,-6 days +00:00:00.000000000,91.0,1.0,2.0,0.0,67.0,3.0,0.0,0.0,1,0.0,1.0,4.0,2.0,1.0,0.0,1,0.0,0.0,3.0,0.0,2.0,0.0,1.0,1.0,8.0,5.0,11.0,57.0,2.0,34.0,1.0,6.0,6.0,1.0,8.0,0.0,0.0,43.0,0.0,109.0,3.0,7.0,0.0,0.0,12,1.0,50.0,1.0,1.0,2.0,195,1.0,78.0,0.0,0.0,0.0,4.0,6,4.0,21,9.0,0.0,0.0,1.0,7,2.0,0.0,0.0,0.0,5,36.0,4.0,2,1.0,1.0,0.0,50,20.0,1,2.0,1.0,1.0,0.0,0.0,active
40,40,punchizzle,malganis,441.0,2020-06-10,-5 days +00:00:00.000000000,15.0,16.0,3.0,17.0,12.0,3.0,3.0,1.0,14,0.0,6.0,2.0,2.0,18.0,4.0,5,0.0,6.0,3.0,0.0,3.0,3.0,1.0,1.0,17.0,4.0,10.0,39.0,2.0,32.0,0.0,10.0,4.0,1.0,8.0,0.0,0.0,3.0,2.0,59.0,3.0,5.0,0.0,3.0,2,1.0,30.0,1.0,1.0,0.0,37,1.0,41.0,0.0,0.0,0.0,0.0,27,6.0,17,9.0,0.0,0.0,0.0,16,2.0,0.0,0.0,0.0,170,18.0,1.0,2,1.0,4.0,0.0,53,7.0,3,2.0,1.0,10.0,0.0,0.0,active
41,41,bobsaget,malganis,462.0,2020-06-15,-10 days +00:00:00.000000000,13.0,13.0,3.0,11.0,11.0,3.0,0.0,1.0,10,0.0,3.0,2.0,2.0,2.0,4.0,5,0.0,4.0,3.0,0.0,2.0,3.0,0.0,1.0,15.0,4.0,10.0,74.0,2.0,32.0,0.0,6.0,4.0,1.0,86.0,0.0,0.0,3.0,0.0,56.0,3.0,10.0,0.0,2.0,2,1.0,28.0,1.0,1.0,0.0,37,1.0,12.0,0.0,0.0,0.0,0.0,12,6.0,12,10.0,0.0,0.0,0.0,12,2.0,0.0,0.0,0.0,147,17.0,1.0,2,1.0,1.0,0.0,55,7.0,1,2.0,1.0,1.0,0.0,0.0,active
42,42,arcturen,malganis,466.0,2020-05-18,18 days 00:00:00.000000000,12.0,14.0,3.0,0.0,9.0,1.0,15.0,1.0,10,0.0,1.0,1.0,2.0,40.0,4.0,4,0.0,0.0,3.0,0.0,11.0,3.0,0.0,1.0,8.0,4.0,10.0,36.0,2.0,32.0,0.0,5.0,4.0,1.0,15.0,0.0,0.0,2.0,0.0,50.0,3.0,7.0,0.0,0.0,3,1.0,24.0,1.0,1.0,0.0,38,1.0,44.0,0.0,0.0,0.0,0.0,91,4.0,30,9.0,0.0,0.0,0.0,31,2.0,42.0,0.0,0.0,131,14.0,3.0,7,1.0,1.0,0.0,50,6.0,1,2.0,1.0,1.0,0.0,0.0,active
43,43,orwells,malganis,407.0,2020-01-27,130 days 00:00:00.000000000,10.0,12.0,7.0,14.0,12.0,3.0,6.0,0.0,9,5.0,5.0,4.0,3.0,21.0,2.0,7,2.0,5.0,11.0,2.0,7.0,1.0,2.0,2.0,17.0,4.0,9.0,18.0,1.0,32.0,0.0,12.0,2.0,1.0,7.0,0.0,2.0,11.0,4.0,38.0,3.0,5.0,0.0,2.0,3,7.0,22.0,1.0,1.0,0.0,33,3.0,20.0,0.0,0.0,0.0,0.0,10,8.0,43,9.0,0.0,0.0,0.0,38,4.0,14.0,9.0,0.0,31,22.0,5.0,23,17.0,3.0,0.0,51,26.0,25,19.0,2.0,1.0,0.0,1.0,risk
44,44,cynjay,malganis,396.0,2019-06-29,342 days 00:00:00.000000000,8.0,10.0,4.0,0.0,6.0,2.0,2.0,0.0,8,4.0,1.0,2.0,1.0,15.0,0.0,5,1.0,1.0,5.0,2.0,6.0,1.0,2.0,2.0,7.0,5.0,25.0,17.0,1.0,32.0,0.0,6.0,2.0,41.0,4.0,0.0,0.0,3.0,0.0,34.0,53.0,5.0,0.0,0.0,1,1.0,14.0,1.0,1.0,0.0,33,1.0,7.0,0.0,0.0,0.0,0.0,10,3.0,6,9.0,0.0,0.0,0.0,8,4.0,5.0,5.0,0.0,14,11.0,1.0,8,92.0,2.0,0.0,30,18.0,4,13.0,10.0,1.0,0.0,2.0,lapsed
45,45,orchimedes,malganis,388.0,2019-12-10,178 days 00:00:00.000000000,6.0,12.0,0.0,3.0,6.0,2.0,2.0,0.0,16,6.0,1.0,5.0,1.0,13.0,1.0,9,4.0,12.0,4.0,5.0,6.0,4.0,0.0,1.0,20.0,8.0,11.0,17.0,3.0,35.0,0.0,10.0,8.0,3.0,2.0,0.0,13.0,0.0,13.0,20.0,3.0,4.0,0.0,10.0,96,15.0,14.0,2.0,1.0,6.0,32,34.0,25.0,0.0,0.0,0.0,2.0,39,26.0,41,9.0,0.0,17.0,0.0,40,5.0,11.0,3.0,0.0,66,3.0,27.0,5,19.0,1.0,0.0,17,4.0,15,6.0,2.0,2.0,0.0,1.0,risk
46,46,nobadeer,malganis,394.0,2019-07-01,340 days 00:00:00.000000000,5.0,9.0,0.0,15.0,16.0,9.0,2.0,0.0,12,3.0,4.0,4.0,2.0,13.0,0.0,8,2.0,7.0,3.0,2.0,6.0,1.0,0.0,1.0,17.0,5.0,11.0,17.0,1.0,35.0,0.0,72.0,7.0,2.0,1.0,0.0,9.0,0.0,19.0,20.0,3.0,4.0,0.0,3.0,86,21.0,17.0,3.0,1.0,3.0,23,26.0,42.0,0.0,0.0,12.0,0.0,32,21.0,39,8.0,0.0,16.0,0.0,20,3.0,16.0,3.0,0.0,70,2.0,30.0,4,16.0,1.0,0.0,13,4.0,15,6.0,7.0,2.0,0.0,2.0,lapsed
47,47,deschaine,malganis,374.0,2019-09-25,254 days 00:00:00.000000000,4.0,13.0,0.0,17.0,7.0,7.0,2.0,0.0,16,3.0,6.0,0.0,2.0,13.0,0.0,12,2.0,5.0,3.0,2.0,6.0,0.0,11.0,1.0,15.0,4.0,11.0,14.0,1.0,2.0,0.0,12.0,3.0,2.0,1.0,0.0,9.0,0.0,20.0,12.0,3.0,4.0,0.0,7.0,43,8.0,10.0,3.0,1.0,2.0,20,24.0,39.0,0.0,0.0,3.0,0.0,57,18.0,45,8.0,0.0,5.0,0.0,22,2.0,15.0,3.0,0.0,71,2.0,24.0,8,13.0,1.0,0.0,25,3.0,14,12.0,6.0,2.0,0.0,2.0,lapsed
48,48,starmonkey,malganis,458.0,2020-04-14,52 days 00:00:00.000000000,4.0,10.0,0.0,14.0,6.0,3.0,41.0,0.0,14,3.0,6.0,0.0,2.0,25.0,0.0,11,0.0,4.0,3.0,1.0,8.0,0.0,10.0,1.0,12.0,3.0,9.0,12.0,1.0,2.0,0.0,7.0,3.0,2.0,0.0,0.0,7.0,0.0,19.0,11.0,3.0,4.0,0.0,6.0,26,8.0,9.0,2.0,1.0,2.0,19,23.0,18.0,0.0,0.0,1.0,0.0,40,17.0,12,7.0,0.0,7.0,0.0,18,2.0,8.0,0.0,0.0,68,2.0,21.0,8,13.0,1.0,0.0,30,3.0,14,5.0,5.0,13.0,0.0,1.0,risk
49,49,scizz,malganis,358.0,2020-06-11,-6 days +00:00:00.000000000,4.0,17.0,0.0,22.0,6.0,2.0,1.0,0.0,41,3.0,3.0,2.0,2.0,2.0,0.0,9,0.0,7.0,10.0,0.0,3.0,0.0,6.0,1.0,48.0,4.0,9.0,6.0,1.0,1.0,2.0,28.0,2.0,2.0,1.0,0.0,2.0,29.0,7.0,8.0,3.0,3.0,0.0,0.0,13,11.0,9.0,1.0,1.0,13.0,18,6.0,7.0,0.0,0.0,1.0,0.0,68,57.0,28,7.0,0.0,3.0,0.0,17,4.0,7.0,0.0,0.0,67,0.0,15.0,11,9.0,1.0,0.0,41,2.0,50,11.0,2.0,2.0,0.0,0.0,active
50,50,dakkyo,malganis,447.0,2020-05-27,9 days 00:00:00.000000000,4.0,15.0,0.0,11.0,6.0,10.0,1.0,0.0,24,3.0,3.0,2.0,1.0,2.0,0.0,9,0.0,5.0,7.0,0.0,3.0,0.0,6.0,1.0,37.0,3.0,9.0,12.0,1.0,1.0,2.0,23.0,2.0,2.0,18.0,0.0,2.0,24.0,6.0,21.0,4.0,3.0,0.0,0.0,14,2.0,7.0,1.0,1.0,7.0,17,6.0,58.0,0.0,0.0,1.0,0.0,14,41.0,7,7.0,0.0,3.0,0.0,8,4.0,7.0,0.0,0.0,31,0.0,9.0,9,9.0,1.0,0.0,31,2.0,35,7.0,2.0,1.0,0.0,0.0,active
51,51,paladass,malganis,424.0,2019-09-26,253 days 00:00:00.000000000,4.0,39.0,0.0,8.0,7.0,3.0,0.0,0.0,38,3.0,10.0,2.0,3.0,2.0,0.0,21,1.0,6.0,7.0,4.0,3.0,0.0,7.0,2.0,48.0,2.0,10.0,1.0,0.0,1.0,0.0,9.0,2.0,2.0,3.0,0.0,14.0,1.0,13.0,2.0,8.0,3.0,0.0,62.0,2,5.0,6.0,29.0,2.0,9.0,4,5.0,65.0,6.0,0.0,3.0,9.0,87,19.0,27,9.0,0.0,71.0,3.0,17,13.0,39.0,0.0,0.0,121,1.0,5.0,17,9.0,0.0,0.0,79,3.0,12,9.0,4.0,1.0,0.0,2.0,lapsed
52,52,jorelor,malganis,465.0,2020-06-10,-5 days +00:00:00.000000000,8.0,30.0,0.0,15.0,7.0,16.0,0.0,1.0,15,2.0,8.0,3.0,7.0,1.0,0.0,25,0.0,10.0,9.0,4.0,12.0,1.0,12.0,1.0,26.0,6.0,5.0,25.0,0.0,6.0,5.0,9.0,2.0,2.0,13.0,0.0,5.0,0.0,16.0,0.0,3.0,2.0,0.0,55.0,5,9.0,6.0,2.0,1.0,13.0,25,5.0,71.0,0.0,0.0,0.0,14.0,73,16.0,14,7.0,0.0,2.0,0.0,9,2.0,23.0,0.0,0.0,87,1.0,6.0,2,1.0,0.0,0.0,26,1.0,38,5.0,1.0,1.0,0.0,0.0,active
53,53,skizi,malganis,349.0,2019-11-07,211 days 00:00:00.000000000,5.0,10.0,12.0,30.0,3.0,14.0,0.0,0.0,9,6.0,8.0,0.0,5.0,1.0,0.0,6,2.0,6.0,9.0,3.0,12.0,0.0,9.0,1.0,27.0,3.0,5.0,24.0,0.0,6.0,2.0,17.0,2.0,2.0,12.0,0.0,7.0,26.0,13.0,1.0,3.0,2.0,0.0,61.0,28,2.0,8.0,2.0,1.0,18.0,19,7.0,56.0,0.0,0.0,8.0,1.0,58,47.0,11,7.0,0.0,4.0,0.0,6,15.0,21.0,0.0,0.0,99,13.0,20.0,14,1.0,0.0,0.0,46,39.0,42,3.0,1.0,1.0,0.0,1.0,risk
54,54,posid,malganis,378.0,2019-07-02,339 days 00:00:00.000000000,5.0,9.0,11.0,28.0,3.0,8.0,0.0,0.0,8,6.0,8.0,0.0,5.0,1.0,0.0,6,2.0,5.0,9.0,3.0,10.0,0.0,6.0,1.0,25.0,3.0,78.0,24.0,0.0,6.0,2.0,17.0,2.0,19.0,12.0,0.0,5.0,24.0,11.0,1.0,24.0,2.0,0.0,56.0,25,2.0,6.0,2.0,1.0,15.0,13,7.0,30.0,0.0,0.0,7.0,1.0,42,36.0,7,7.0,0.0,4.0,0.0,4,14.0,19.0,0.0,0.0,66,13.0,16.0,13,1.0,0.0,0.0,43,37.0,41,3.0,0.0,1.0,0.0,2.0,lapsed
55,55,brovaries,malganis,449.0,2020-06-16,-11 days +00:00:00.000000000,5.0,9.0,11.0,17.0,3.0,6.0,0.0,0.0,7,4.0,6.0,0.0,5.0,1.0,0.0,6,2.0,4.0,8.0,3.0,4.0,0.0,4.0,1.0,16.0,3.0,7.0,54.0,0.0,6.0,2.0,13.0,2.0,1.0,47.0,0.0,4.0,13.0,7.0,1.0,4.0,4.0,0.0,51.0,24,2.0,13.0,2.0,1.0,11.0,7,4.0,38.0,0.0,0.0,7.0,1.0,18,29.0,18,7.0,0.0,3.0,0.0,42,9.0,17.0,0.0,0.0,50,13.0,10.0,5,1.0,0.0,0.0,36,35.0,59,3.0,0.0,1.0,0.0,0.0,active
56,56,powertacos,malganis,475.0,2020-06-15,-10 days +00:00:00.000000000,4.0,5.0,6.0,47.0,2.0,12.0,5.0,0.0,5,1.0,79.0,54.0,13.0,8.0,0.0,5,1.0,0.0,62.0,21.0,12.0,0.0,2.0,1.0,10.0,71.0,13.0,15.0,0.0,4.0,1.0,3.0,38.0,52.0,2.0,0.0,1.0,1.0,0.0,3.0,27.0,1.0,0.0,15.0,23,2.0,27.0,24.0,1.0,6.0,5,0.0,76.0,4.0,0.0,7.0,1.0,7,7.0,26,12.0,0.0,1.0,0.0,1,1.0,22.0,5.0,0.0,19,9.0,4.0,1,6.0,10.0,0.0,14,20.0,27,1.0,13.0,7.0,0.0,0.0,active
57,57,schlansky,malganis,377.0,2019-12-29,159 days 00:00:00.000000000,20.0,4.0,5.0,32.0,2.0,8.0,5.0,0.0,3,1.0,44.0,33.0,6.0,8.0,0.0,5,1.0,0.0,50.0,8.0,10.0,0.0,2.0,1.0,10.0,49.0,8.0,15.0,0.0,4.0,1.0,1.0,15.0,44.0,2.0,0.0,0.0,1.0,0.0,1.0,18.0,1.0,0.0,15.0,20,2.0,18.0,21.0,1.0,4.0,3,0.0,32.0,3.0,0.0,3.0,1.0,7,6.0,6,11.0,0.0,1.0,0.0,1,1.0,11.0,3.0,0.0,45,8.0,4.0,1,39.0,9.0,0.0,8,18.0,12,1.0,33.0,9.0,0.0,1.0,risk
58,58,theban,malganis,464.0,2020-06-15,-10 days +00:00:00.000000000,6.0,19.0,4.0,29.0,4.0,3.0,37.0,0.0,12,1.0,20.0,5.0,5.0,8.0,0.0,4,1.0,13.0,23.0,1.0,9.0,0.0,0.0,1.0,12.0,10.0,7.0,8.0,0.0,3.0,2.0,25.0,4.0,6.0,1.0,0.0,18.0,3.0,19.0,0.0,13.0,3.0,0.0,22.0,25,4.0,8.0,3.0,37.0,0.0,13,3.0,27.0,2.0,0.0,24.0,16.0,87,4.0,4,8.0,0.0,43.0,13.0,37,7.0,3.0,3.0,0.0,84,8.0,13.0,15,1.0,18.0,0.0,30,15.0,14,11.0,4.0,5.0,0.0,0.0,active
59,59,zarfol,malganis,411.0,2020-01-27,130 days 00:00:00.000000000,6.0,11.0,3.0,13.0,4.0,2.0,13.0,0.0,8,1.0,15.0,29.0,5.0,3.0,0.0,4,1.0,10.0,28.0,1.0,9.0,0.0,0.0,1.0,11.0,23.0,7.0,8.0,0.0,1.0,2.0,13.0,7.0,6.0,1.0,0.0,9.0,3.0,12.0,8.0,13.0,1.0,0.0,22.0,22,3.0,12.0,3.0,8.0,0.0,5,2.0,30.0,1.0,0.0,10.0,7.0,55,3.0,12,53.0,0.0,10.0,7.0,48,3.0,3.0,10.0,0.0,54,8.0,8.0,7,1.0,2.0,0.0,22,15.0,9,11.0,2.0,7.0,0.0,1.0,risk
60,60,iamnotacrook,malganis,454.0,2020-03-23,74 days 00:00:00.000000000,5.0,6.0,3.0,12.0,4.0,1.0,12.0,0.0,8,1.0,9.0,12.0,4.0,10.0,0.0,4,1.0,9.0,19.0,1.0,8.0,0.0,0.0,1.0,9.0,10.0,6.0,8.0,0.0,0.0,1.0,10.0,5.0,6.0,1.0,0.0,3.0,3.0,12.0,5.0,20.0,1.0,0.0,17.0,22,3.0,9.0,23.0,4.0,0.0,48,2.0,78.0,15.0,0.0,33.0,1.0,83,3.0,26,28.0,0.0,7.0,4.0,47,3.0,6.0,1.0,0.0,23,6.0,4.0,7,4.0,1.0,0.0,69,13.0,8,11.0,2.0,5.0,0.0,1.0,risk
61,61,gorkus,malganis,445.0,2020-06-15,-10 days +00:00:00.000000000,5.0,11.0,2.0,12.0,4.0,5.0,6.0,0.0,6,1.0,9.0,12.0,4.0,4.0,0.0,8,1.0,8.0,19.0,1.0,8.0,0.0,1.0,1.0,9.0,10.0,11.0,8.0,0.0,5.0,0.0,10.0,5.0,6.0,18.0,0.0,2.0,3.0,11.0,1.0,14.0,9.0,0.0,20.0,21,3.0,7.0,15.0,4.0,0.0,28,2.0,51.0,10.0,0.0,8.0,1.0,68,3.0,40,19.0,0.0,6.0,3.0,17,3.0,10.0,1.0,0.0,60,6.0,3.0,7,5.0,1.0,0.0,21,12.0,6,11.0,16.0,5.0,0.0,0.0,active
